"DIA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"08 ene 2020";"569,58";"576,72"
"09 ene 2020";"569,47";"576,74"
"10 ene 2020";"569,84";"576,49"
"13 ene 2020";"568,61";"575,93"
"14 ene 2020";"566,59";"573,34"
"15 ene 2020";"565,82";"572,01"
"16 ene 2020";"564,67";"570,74"
"17 ene 2020";"563,37";"569,43"
"20 ene 2020";"561,47";"568,43"
"21 ene 2020";"561,54";"568,42"
"22 ene 2020";"563,46";"570,32"
"23 ene 2020";"565,35";"572,03"
"24 ene 2020";"567,19";"573,61"
"27 ene 2020";"566,44";"573,51"
"28 ene 2020";"565,53";"573,13"
"29 ene 2020";"566,55";"572,64"
"30 ene 2020";"567,26";"573,08"
"31 ene 2020";"567,06";"573,36"
"03 feb 2020";"566,38";"573,61"
"04 feb 2020";"567,47";"576,12"
"05 feb 2020";"571,50";"578,69"
"06 feb 2020";"572,70";"578,64"
"07 feb 2020";"572,69";"579,34"
"10 feb 2020";"570,40";"577,83"
"11 feb 2020";"568,50";"576,30"
"12 feb 2020";"568,17";"574,43"
"13 feb 2020";"566,80";"572,52"
"14 feb 2020";"565,61";"571,22"
"17 feb 2020";"563,98";"570,33"
"18 feb 2020";"564,12";"571,63"
"19 feb 2020";"566,03";"573,02"
"20 feb 2020";"567,06";"574,93"
"21 feb 2020";"569,08";"575,34"
"24 feb 2020";"569,46";"575,93"
"25 feb 2020";"568,77";"575,03"
"26 feb 2020";"568,63";"574,68"
"27 feb 2020";"567,15";"572,68"
"28 feb 2020";"565,84";"571,54"
"02 mar 2020";"565,87";"572,33"
"03 mar 2020";"566,37";"574,39"
"04 mar 2020";"569,08";"576,37"
"05 mar 2020";"569,61";"578,08"
"06 mar 2020";"569,70";"576,57"
"09 mar 2020";"566,21";"573,35"
"10 mar 2020";"565,13";"572,37"
"11 mar 2020";"564,57";"570,25"
"12 mar 2020";"561,70";"567,42"
"13 mar 2020";"562,21";"568,00"
"16 mar 2020";"560,66";"567,68"
"17 mar 2020";"560,75";"568,32"
"18 mar 2020";"563,22";"568,70"
"19 mar 2020";"563,38";"569,74"
"20 mar 2020";"564,80";"570,64"
"23 mar 2020";"565,64";"573,56"
"24 mar 2020";"569,54";"576,98"
"25 mar 2020";"572,33";"579,70"
"26 mar 2020";"575,42";"582,05"
"27 mar 2020";"577,33";"583,83"
"30 mar 2020";"577,90";"585,50"
"31 mar 2020";"579,50";"587,37"
"01 abr 2020";"577,10";"583,71"
"02 abr 2020";"573,19";"580,08"
"03 abr 2020";"570,94";"577,96"
"06 abr 2020";"567,30";"575,49"
"07 abr 2020";"568,25";"574,45"
"13 abr 2020";"568,55";"575,12"
"14 abr 2020";"566,35";"573,07"
"15 abr 2020";"564,13";"569,29"
"16 abr 2020";"561,28";"567,52"
"17 abr 2020";"559,65";"565,54"
"20 abr 2020";"558,99";"565,11"
"21 abr 2020";"562,97";"569,18"
"22 abr 2020";"564,29";"571,90"
"23 abr 2020";"564,68";"571,09"
"24 abr 2020";"564,38";"569,03"
"27 abr 2020";"562,93";"570,07"
"28 abr 2020";"563,35";"569,75"
"29 abr 2020";"564,88";"571,09"
"30 abr 2020";"564,42";"571,46"
"04 may 2020";"565,24";"571,92"
"05 may 2020";"564,81";"572,42"
"06 may 2020";"565,57";"572,70"
"07 may 2020";"565,04";"571,91"
"08 may 2020";"565,82";"571,97"
"11 may 2020";"565,30";"572,03"
"12 may 2020";"565,48";"572,35"
"13 may 2020";"566,32";"571,60"
"14 may 2020";"566,43";"571,82"
"15 may 2020";"566,13";"571,76"
"18 may 2020";"565,48";"572,39"
"19 may 2020";"566,57";"573,39"
"20 may 2020";"567,07";"574,50"
"21 may 2020";"567,67";"574,72"
"22 may 2020";"566,87";"574,00"
"25 may 2020";"566,57";"573,68"
"26 may 2020";"568,19";"574,07"
"27 may 2020";"567,62";"575,00"
"28 may 2020";"570,64";"575,20"
"29 may 2020";"569,46";"576,11"
"01 jun 2020";"570,22";"576,93"
"02 jun 2020";"571,29";"579,35"
"03 jun 2020";"573,19";"581,02"
"04 jun 2020";"574,66";"582,02"
"05 jun 2020";"573,68";"582,45"
"08 jun 2020";"574,99";"582,87"
"09 jun 2020";"575,70";"583,72"
"10 jun 2020";"577,25";"584,02"
"11 jun 2020";"576,90";"583,14"
